	MedCodeId	Observations	Term	CVD		
436	a8290471000006114	70	Heart failure initial assessment	CVD		
437	a1856381000006114	50	Heart failure monitoring default	CVD		
438	a76126013	50	Kyphoscoliotic heart disease	CVD		
439	a1216090015	50	"Acute oedema of lung, unspecified"	CVD		
440	a741701000006114	50	Hypertensive heart and renal disease with (congestive) heart failure	CVD		
441	a728671000006119	40	Malignant hypertensive heart disease with congestive cardiac failure	CVD		
442	a5573991000006118	40	Impaired left ventricular func	CVD		
443	a7573201000006117	30	Heart failure with reduced ejection fraction due to cardiomyopathy	CVD		
444	a3589241000006116	30	Chronic right-sided congestive heart failure	CVD		
445	a299853015	30	Other chronic pulmonary heart disease NOS	CVD		
446	a1539381000006117	30	Heart failure lifestyle plan commenced	CVD		
447	a3515953019	30	Heart failure self management plan	CVD		
448	a6212521000006115	30	Acute cardiac pulmonary oedema	CVD		
449	a7056281000006118	30	Congestive heart failure due to left ventricular systolic dysfunction	CVD		
450	a1539471000006111	20	Heart failure monitoring - unstable symptoms	CVD		
451	a6919191000006119	20	Diastolic heart failure	CVD		
452	a1747691000006119	20	Emergency heart failure admission since last appointment	CVD		
453	a1539491000006112	20	Heart failure monitoring - social issues	CVD		
454	a1539531000006112	20	Heart failure monitoring - co-morbidities	CVD		
455	a324975010	20	Heart-lung transplant failure and rejection	CVD		
456	a884211000006114	20	Other pulmonary heart disease	CVD		
457	a7250571000006113	20	Chronic systolic heart failure	CVD		
458	a1539391000006119	20	Heart failure information starter pack provided	CVD		
459	a324974014	20	Heart transplant failure and rejection	CVD		
460	a12623611000006114	20	Excepted from heart failure quality indicators - service unavailable	CVD		
461	a789941000006117	20	Hypertensive heart and renal disease with both (congestive) heart failure and renal failure	CVD		
462	a884191000006113	20	Chronic pulmonary heart dis.	CVD		
463	a8030311000006111	10	Exacerbation of congestive heart failure	CVD		
464	a12734351000006110	10	QOF (Quality and Outcomes Framework) heart failure quality indicator-related care invitation using preferred method of communication	CVD		
465	a14015051000006114	10	Acute on chronic right-sided congestive heart failure	CVD		
466	a3886071000006114	10	LVF - Left ventricular failure	CVD		
467	a1784061000006118	10	Preferred place of care for next exacerbation of heart failure	CVD		
468	a4193361000006119	8	Chronic left-sided heart failure	CVD		
469	a7573181000006118	8	Heart failure with reduced ejection fraction due to coronary artery disease	CVD		
470	a7510321000006115	8	Asymptomatic left ventricular systolic dysfunction	CVD		
471	a7573211000006119	7	Heart failure with reduced ejection fraction due to heart valve disease	CVD		
472	a1539511000006118	7	Heart failure monitoring - multiple readmissions	CVD		
473	a6914191000006115	5	Systolic heart failure	CVD		
474	a7119751000006110	5	Chronic systolic dysfunction of left ventricle	CVD		
475	a1861741000006116	5	AURAS-AF - consider the patient not to have heart failure	CVD		
476	a6204381000006117	5	Acute right-sided heart failure	CVD		
477	a1959101000006118	4	Heart Age study: Failed to respond to NHS Health Check three written personalised invitations	CVD		
478	a6361031000006112	4	Depression of left ventricular systolic function	CVD		
479	a4005301000006110	4	Biventricular failure	CVD		
480	a7119761000006112	3	Chronic left ventricular systolic dysfunction	CVD		
481	a2405871000000117	3	Heart failure rehabilitation programme not available	CVD		
482	a2585431000006117	3	Chronic left-sided congestive heart failure	CVD		
483	a7475721000006114	3	Heart failure due to end stage congenital heart disease	CVD		
484	a1539501000006116	3	Heart failure monitoring - psychological issues	CVD		
485	a7573191000006115	3	Heart failure with reduced ejection fraction due to myocarditis	CVD		
486	a3800291000006115	3	COR - Chronic cor pulmonale	CVD		
487	a3182531000006110	2	Congestive heart disease	CVD		
488	a2660881000006116	2	High output heart failure	CVD		
489	a1861731000006114	2	AURAS-AF - consider the patient to have heart failure	CVD		
490	a8011111000006111	2	Congestive heart failure with right heart failure	CVD		
491	a3152691000006117	2	Acute pulmonary edema	CVD		
492	a3213831000006118	2	Right heart failure secondary to left heart failure	CVD		
493	a7507301000006110	2	Acute exacerbation of chronic congestive heart failure	CVD		
494	a8048061000006111	2	Chronic combined systolic and diastolic heart failure	CVD		
495	a3152701000006117	1	Acute edema of lung	CVD		
496	a3182561000006118	1	CHF - Congestive heart failure	CVD		
497	a1959071000006111	1	Heart Age study: Failed to respond to NHS Health Check three written standard invitations	CVD		
498	a3489281000006119	1	Hypertensive heart disease without congestive heart failure	CVD		
499	a3152721000006110	1	Pulmonary oedema - acute	CVD		
500	a1822161000006116	1	Heart failure pathway protocol not followed	CVD		
501	a7510341000006110	1	Symptomatic congestive heart failure	CVD		
502	a3868341000006118	1	HF - Heart failure	CVD		
503	a7052811000006113	1	Right heart failure due to pulmonary hypertension	CVD		
504	a8278041000006115	1	Rehabilitation for heart failure	CVD		
505	a405339016	900000	Cerebrovascular accident	CVD		
506	a405339016	900000	Cerebrovascular accident	CVD		
507	a395783012	800000	Transient ischaemic attack	CVD		
508	a395783012	800000	Transient ischaemic attack	CVD		
509	a395788015	700000	Transient cerebral ischaemia	CVD		
510	a395788015	700000	Transient cerebral ischaemia	CVD		
511	a104563015	600000	Cerebrovascular disease	CVD		
512	a605501000006117	400000	CVA unspecified	CVD		
513	a605501000006117	400000	CVA unspecified	CVD		
514	a1780304018	300000	CVA annual review	CVD		
515	a605491000006113	200000	CVA - Cerebrovascular accident	CVD		
516	a605491000006113	200000	CVA - Cerebrovascular accident	CVD		
517	a395780010	200000	Cerebral infarction	CVD		
518	a395780010	200000	Cerebral infarction	CVD		
519	a1222398015	100000	Cerebral arterial occlusion	CVD		
520	a481028017	100000	Subarachnoid haemorrhage	CVD		
521	a605461000006117	100000	CVA - cerebrovascular accident due to cerebral artery occlusion	CVD		
522	a605461000006117	100000	CVA - cerebrovascular accident due to cerebral artery occlusion	CVD		
523	a1222398015	100000	Cerebral arterial occlusion	CVD		
524	a122401000006115	90000	Stroke unspecified	CVD		
525	a122401000006115	90000	Stroke unspecified	CVD		
526	a744901000006114	70000	Intracerebral haemorrhage (ICH)	CVD		
527	a744901000006114	70000	Intracerebral haemorrhage (ICH)	CVD		
528	a251692018	70000	H/O: TIA	CVD		
529	a145925010	70000	Amaurosis fugax	CVD		
530	a113392018	60000	Benign intracranial hypertension	CVD		
531	a300371014	60000	Right sided CVA	CVD		
532	a300370010	60000	Left sided CVA	CVD		
533	a300370010	60000	Left sided CVA	CVD		
534	a300371014	60000	Right sided CVA	CVD		
535	a1130181000000113	50000	Small vessel cerebrovascular disease	CVD		
536	a497559016	50000	Arteriosclerotic dementia	CVD		
537	a497559016	50000	Arteriosclerotic dementia	CVD		
538	a411518010	40000	H/O: CVA	CVD		
539	a605471000006112	40000	Cerebral hemorrhage	CVD		
540	a605471000006112	40000	Cerebral hemorrhage	CVD		
541	a696161000006115	30000	Multi-infarct dementia	CVD		
542	a2476091017	30000	H/O: stroke	CVD		
543	a451133011	30000	Left sided cerebral infarction	CVD		
544	a451133011	30000	Left sided cerebral infarction	CVD		
545	a696161000006115	30000	Multi-infarct dementia	CVD		
546	a122361000006113	30000	Stroke due to cerebral arterial occlusion	CVD		
547	a122361000006113	30000	Stroke due to cerebral arterial occlusion	CVD		
548	a158118014	30000	Cerebellar infarction	CVD		
549	a391035012	30000	Traumatic subdural hematoma	CVD		
550	a158118014	30000	Cerebellar infarction	CVD		
551	a118689010	20000	Cerebral thrombosis	CVD		
552	a122371000006118	20000	Cerebral haemorrhage	CVD		
553	a67511000006117	20000	Vertebro-basilar insufficiency	CVD		
554	a5010981000006119	20000	Stroke	CVD		
555	a2534198011	20000	Subdural haemorrhage	CVD		
556	a884521000006115	20000	Stroke/CVA - undefined	CVD		
557	a122371000006118	20000	Cerebral haemorrhage	CVD		
558	a118689010	20000	Cerebral thrombosis	CVD		
559	a5010981000006119	20000	Stroke	CVD		
560	a451134017	20000	Right sided cerebral infarction	CVD		
561	a451134017	20000	Right sided cerebral infarction	CVD		
562	a67511000006117	20000	Vertebro-basilar insufficiency	CVD		
563	a2475119012	20000	Non-traumatic subdural haemorrhage	CVD		
564	a1229954013	20000	"Cerebral aneurysm, nonruptured"	CVD		
565	a95931000006111	10000	Transient cerebral ischaemia NOS	CVD		
566	a300298011	10000	Intracranial haemorrhage	CVD		
567	a884531000006117	10000	Stroke	CVD		
568	a95931000006111	10000	Transient cerebral ischaemia NOS	CVD		
569	a218511000000117	10000	Infarction - cerebral	CVD		
570	a300419019	10000	Cerebrovascular disease NOS	CVD		
571	a218511000000117	10000	Infarction - cerebral	CVD		
572	a395778016	10000	Carotid artery occlusion	CVD		
573	a399031000006111	9000	[X]Multi-infarct dementia	CVD		
574	a398571000006112	9000	Mixed cortical and subcortical vascular dementia	CVD		
575	a399031000006111	9000	[X]Multi-infarct dementia	CVD		
576	a502878012	9000	Cerebellar haemorrhage	CVD		
577	a299342019	9000	Lacunar infarction	CVD		
578	a299342019	9000	Lacunar infarction	CVD		
579	a502878012	9000	Cerebellar haemorrhage	CVD		
580	a2126181000000114	8000	Stroke annual review	CVD		
581	a2474651019	7000	Infarction of basal ganglia	CVD		
582	a300349016	7000	Transient cerebral ischaemia NOS	CVD		
583	a2474651019	7000	Infarction of basal ganglia	CVD		
584	a524511000006116	7000	Brainstem stroke syndrome	CVD		
585	a300366019	7000	Cerebellar stroke syndrome	CVD		
586	a300349016	7000	Transient cerebral ischaemia NOS	CVD		
587	a524511000006116	7000	Brainstem stroke syndrome	CVD		
588	a300366019	7000	Cerebellar stroke syndrome	CVD		
589	a3414251000006112	6000	VAD - Vascular dementia	CVD		
590	a300362017	6000	Middle cerebral artery syndrome	CVD		
591	a125470015	6000	Cerebral embolism	CVD		
592	a106394016	6000	Vertebrobasilar insufficiency	CVD		
593	a363791000006112	6000	[X]Arteriosclerotic dementia	CVD		
594	a300294013	6000	Subdural haemorrhage - nontraumatic	CVD		
595	a3414251000006112	6000	VAD - Vascular dementia	CVD		
596	a363791000006112	6000	[X]Arteriosclerotic dementia	CVD		
597	a106394016	6000	Vertebrobasilar insufficiency	CVD		
598	a300362017	6000	Middle cerebral artery syndrome	CVD		
599	a125470015	6000	Cerebral embolism	CVD		
600	a92070010	5000	Cerebral atherosclerosis	CVD		
601	a360778011	5000	Chronic cerebral ischaemia	CVD		
602	a4778181000006119	4000	Left sided cerebral hemisphere cerebrovascular accident	CVD		
603	a4778181000006119	4000	Left sided cerebral hemisphere cerebrovascular accident	CVD		
604	a524541000006117	4000	Brain stem infarction	CVD		
605	a543141000006110	4000	Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs	CVD		
606	a1160471000000111	4000	Stroke 6 month review	CVD		
607	a7519441000006112	4000	Cerebrovascular accident annual review	CVD		
608	a391028016	4000	Traumatic extradural haematoma	CVD		
609	a300287010	4000	Intracerebral haemorrhage NOS	CVD		
610	a345701012	4000	Cerebral amyloid angiopathy	CVD		
611	a300287010	4000	Intracerebral haemorrhage NOS	CVD		
612	a543141000006110	4000	Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs	CVD		
613	a524541000006117	4000	Brain stem infarction	CVD		
614	a300364016	3000	Posterior cerebral artery syndrome	CVD		
615	a300364016	3000	Posterior cerebral artery syndrome	CVD		
616	a4778201000006118	3000	Right sided cerebral hemisphere cerebrovascular accident	CVD		
617	a100721000006111	3000	Cerebral venous sinus thrombosis	CVD		
618	a586241000006116	3000	Non-pyogenic venous sinus thrombosis	CVD		
619	a320836010	3000	Subdural haemorrhage following injury	CVD		
620	a4778201000006118	3000	Right sided cerebral hemisphere cerebrovascular accident	CVD		
621	a320835014	3000	Traumatic subdural haemorrhage	CVD		
622	a300321011	3000	Cerebral infarction due to thrombosis of cerebral arteries	CVD		
623	a499739014	3000	Insufficiency - basilar artery	CVD		
624	a300277011	3000	"Intracerebral haemorrhage, intraventricular"	CVD		
625	a300321011	3000	Cerebral infarction due to thrombosis of cerebral arteries	CVD		
626	a505322013	3000	Cerebral haemorrhage following injury	CVD		
627	a300257016	3000	Subarachnoid haemorrhage NOS	CVD		
628	a300277011	3000	"Intracerebral haemorrhage, intraventricular"	CVD		
629	a320752018	3000	Closed traumatic subdural haemorrhage	CVD		
630	a499739014	3000	Insufficiency - basilar artery	CVD		
631	a294656010	2000	Arteriosclerotic dementia NOS	CVD		
632	a106392017	2000	Basilar artery syndrome	CVD		
633	a106392017	2000	Basilar artery syndrome	CVD		
634	a300363010	2000	Anterior cerebral artery syndrome	CVD		
635	a25897016	2000	Subclavian steal syndrome	CVD		
636	a300363010	2000	Anterior cerebral artery syndrome	CVD		
637	a2118011000000114	2000	Stroke self-management plan agreed	CVD		
638	a25897016	2000	Subclavian steal syndrome	CVD		
639	a300312010	2000	Cerebral infarct due to thrombosis of precerebral arteries	CVD		
640	a503791000006114	2000	Basal ganglia haemorrhage	CVD		
641	a841051000006113	2000	Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy	CVD		
642	a300312010	2000	Cerebral infarct due to thrombosis of precerebral arteries	CVD		
643	a503791000006114	2000	Basal ganglia haemorrhage	CVD		
644	a294656010	2000	Arteriosclerotic dementia NOS	CVD		
645	a345655015	2000	Pure motor lacunar syndrome	CVD		
646	a395777014	2000	Precerebral arterial occlusion	CVD		
647	a800691000006113	2000	Diffuse cerebrovascular disease	CVD		
648	a503469016	2000	Pontine haemorrhage	CVD		
649	a345655015	2000	Pure motor lacunar syndrome	CVD		
650	a67501000006115	2000	Vertebrobasilar artery syndrome	CVD		
651	a67501000006115	2000	Vertebrobasilar artery syndrome	CVD		
652	a123511000006114	2000	Subarachnoid haemorrhage from middle cerebral artery	CVD		
653	a300374018	2000	Other cerebrovascular disease	CVD		
654	a501622012	2000	Perinatal intraventricular haemorrhage	CVD		
655	a503469016	2000	Pontine haemorrhage	CVD		
656	a300941014	2000	[X]Other cerebral infarction	CVD		
657	a300941014	2000	[X]Other cerebral infarction	CVD		
658	a345710016	2000	Vertebral artery dissection	CVD		
659	a300322016	1000	Cerebral infarction due to embolism of cerebral arteries	CVD		
660	a371641000000112	1000	Delivery of rehabilitation for stroke	CVD		
661	a416991000006112	1000	Transient cerebral ischemia	CVD		
662	a325051016	1000	Cerebral anoxia complication	CVD		
663	a300309012	1000	Vertebral artery occlusion	CVD		
664	a300242011	1000	Ruptured berry aneurysm	CVD		
665	a402929011	1000	Subarachnoid haemorrhage following injury without open intracranial wound	CVD		
666	a123481000006118	1000	Subarachnoid haemorrhage from anterior communicating artery	CVD		
667	a300348012	1000	Other transient cerebral ischaemia	CVD		
668	a660121000006113	1000	Traumatic intracranial haemorrhage	CVD		
669	a416991000006112	1000	Transient cerebral ischemia	CVD		
670	a300313017	1000	Cerebral infarction due to embolism of precerebral arteries	CVD		
671	a402930018	1000	Extradural haemorrhage following injury without open intracranial wound	CVD		
672	a496232015	1000	Internal capsule haemorrhage	CVD		
673	a300313017	1000	Cerebral infarction due to embolism of precerebral arteries	CVD		
674	a496232015	1000	Internal capsule haemorrhage	CVD		
675	a300348012	1000	Other transient cerebral ischaemia	CVD		
676	a300939013	1000	Cerebral haemorrhage	CVD		
677	a300943012	1000	Cerebral artery occlusion	CVD		
678	a748941000006115	1000	"Left sided intracerebral haemorrhage, unspecified"	CVD		
679	a114794013	1000	Moyamoya disease	CVD		
680	a884421000006119	1000	Cerebral haemorrhage	CVD		
681	a350804018	1000	Congenital cerebral arteriovenous malformation	CVD		
682	a296939018	1000	Thrombosis transverse sinus	CVD		
683	a748941000006115	1000	"Left sided intracerebral haemorrhage, unspecified"	CVD		
684	a884421000006119	1000	Cerebral haemorrhage	CVD		
685	a300939013	1000	Cerebral haemorrhage	CVD		
686	a300943012	1000	Cerebral artery occlusion	CVD		
687	a449935012	1000	Admission to stroke unit	CVD		
688	a884441000006114	1000	Subdural haemorrhage	CVD		
689	a296940016	1000	Thrombosis of central nervous system venous sinus NOS	CVD		
690	a300290016	1000	Other and unspecified intracranial haemorrhage	CVD		
691	a300322016	1000	Cerebral infarction due to embolism of cerebral arteries	CVD		
692	a345650013	900	Brainstem infarction NOS	CVD		
693	a542261000006114	900	Cerebral infarction due to occlusion of precerebral artery	CVD		
694	a2115821000000118	900	Stroke self-management plan review	CVD		
695	a345650013	900	Brainstem infarction NOS	CVD		
696	a542261000006114	900	Cerebral infarction due to occlusion of precerebral artery	CVD		
697	a431691000006119	900	Vascular dementia of acute onset	CVD		
698	a345684012	900	Carotid territory transient ischaemic attack	CVD		
699	a345684012	900	Carotid territory transient ischaemic attack	CVD		
700	a58046010	800	Vertebral artery syndrome	CVD		
701	a542251000006112	800	"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic"	CVD		
702	a300379011	800	Generalised ischaemic cerebrovascular disease NOS	CVD		
703	a345675012	800	Lobar cerebral haemorrhage	CVD		
704	a100691000006118	800	Cerebral venous thrombosis of cavernous sinus	CVD		
705	a345675012	800	Lobar cerebral haemorrhage	CVD		
706	a660111000006117	800	Nontraumatic extradural haemorrhage	CVD		
707	a130375018	800	Lateral medullary syndrome	CVD		
708	a130375018	800	Lateral medullary syndrome	CVD		
709	a542251000006112	800	"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic"	CVD		
710	a812561000006116	800	Haemangioma of intracranial structure	CVD		
711	a451371010	800	H/O: Stroke in last year	CVD		
712	a58046010	800	Vertebral artery syndrome	CVD		
713	a356251016	800	Pituitary apoplexy	CVD		
714	a163261000006119	800	"Right sided intracerebral haemorrhage, unspecified"	CVD		
715	a163261000006119	800	"Right sided intracerebral haemorrhage, unspecified"	CVD		
716	a417171000006111	700	[X]Other vascular syndroms/brain in cerebrovasculr diseases	CVD		
717	a928621000006111	700	"MELAS - Mitochondrial encephalopathy, lactic acidosis and stroke-like episodes"	CVD		
718	a300403014	700	Late effects of cerebrovascular disease	CVD		
719	a413750011	700	Central post-stroke pain	CVD		
720	a884471000006118	700	Carotid artery occluded	CVD		
721	a300303013	700	Basilar artery occlusion	CVD		
722	a486896012	700	Intracranial haematoma following injury	CVD		
723	a1235913017	700	Cerebral vein thrombosis	CVD		
724	a883081000006112	600	Benign intracranial hyperten.	CVD		
725	a538601000006110	600	Caroticocavernous sinus fistula	CVD		
726	a300353019	600	Intermittent cerebral ischaemia	CVD		
727	a3610821000006113	600	Idiopathic intracranial hypertension	CVD		
728	a300353019	600	Intermittent cerebral ischaemia	CVD		
729	a123521000006118	600	Subarachnoid haemorrhage from posterior communicating artery	CVD		
730	a345658018	600	Pure sensory lacunar syndrome	CVD		
731	a345658018	600	Pure sensory lacunar syndrome	CVD		
732	a966981000006112	600	Referral to multidisciplinary stroke function improvement service	CVD		
733	a300314011	600	Precerebral artery occlusion NOS	CVD		
734	a505324014	600	Traumatic cerebral haemorrhage	CVD		
735	a5263018	600	Congenital cerebral arteriovenous aneurysm	CVD		
736	a300389010	600	Nonruptured cerebral aneurysm due to dissection of cerebral artery	CVD		
737	a300395011	500	Occlusion and stenosis of middle cerebral artery	CVD		
738	a300418010	500	Other specified cerebrovascular disease	CVD		
739	a47484015	500	Cerebral arteritis	CVD		
740	a2262511000000116	500	Reversible cerebral vasoconstriction syndrome	CVD		
741	a300344014	500	Carotid artery syndrome hemispheric	CVD		
742	a123441000006112	500	"Subarachnoid haemorrh from intracranial artery, unspecif"	CVD		
743	a300344014	500	Carotid artery syndrome hemispheric	CVD		
744	a495394013	500	Cortical haemorrhage	CVD		
745	a495394013	500	Cortical haemorrhage	CVD		
746	a316516014	400	Intraventricular haemorrhage due to birth injury	CVD		
747	a767651000006116	400	"Intraventricular (nontraumatic) haemorrhage, grade 2, of fetus and newborn"	CVD		
748	a744921000006116	400	"Intracerebral haemorrhage in hemisphere, unspecified"	CVD		
749	a300956017	400	"[X]Intracerebral haemorrhage in hemisphere, unspecified"	CVD		
750	a744921000006116	400	"Intracerebral haemorrhage in hemisphere, unspecified"	CVD		
751	a4056981000006115	400	Cerebral venous thrombosis	CVD		
752	a300956017	400	"[X]Intracerebral haemorrhage in hemisphere, unspecified"	CVD		
753	a1212072018	400	Occlusive stroke	CVD		
754	a459511018	400	Traumatic subdural haematoma without open intracranial wound	CVD		
755	a5011741000006115	400	Dissection of vertebral artery	CVD		
756	a100701000006118	400	Thrombosis lateral sinus	CVD		
757	a5011131000006112	400	Posterior cerebral circulation infarction	CVD		
758	a123491000006115	400	Subarachnoid haemorrhage from basilar artery	CVD		
759	a8044481000006118	400	Ischaemic stroke without coma	CVD		
760	a8044481000006118	400	Ischaemic stroke without coma	CVD		
761	a213421000006113	400	Precerebral atherosclerosis	CVD		
762	a149347010	400	Binswanger's disease	CVD		
763	a149347010	400	Binswanger's disease	CVD		
764	a5060581000006110	400	Cerebral arteriovenous malformation	CVD		
765	a5011091000006110	400	Partial anterior cerebral circulation infarction	CVD		
766	a5011131000006112	400	Posterior cerebral circulation infarction	CVD		
767	a5011091000006110	400	Partial anterior cerebral circulation infarction	CVD		
768	a149571000006118	400	"Sequelae of stroke,not specfd as h'morrhage or infarction"	CVD		
769	a512234017	400	Cerebral lupus	CVD		
770	a296931015	400	Phlebitis and thrombophlebitis of intracranial sinuses	CVD		
771	a1212072018	400	Occlusive stroke	CVD		
772	a5459271000006119	400	Traumatic intracranial subarachnoid haemorrhage	CVD		
773	a13796131000006110	300	Subarachnoid haemorrhage due to traumatic injury	CVD		
774	a12223101000006118	300	Intracerebral haemorrhage	CVD		
775	a4056871000006112	300	Subdural haematoma	CVD		
776	a300402016	300	Other cerebrovascular disease NOS	CVD		
777	a542831000006116	300	Cerebral embolus	CVD		
778	a8453031000006117	300	Haemorrhagic stroke	CVD		
779	a8453031000006117	300	Haemorrhagic stroke	CVD		
780	a370701000006118	300	[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs	CVD		
781	a320852013	300	Cerebral haemorrhage following injury NOS	CVD		
782	a57341000006119	300	Wallenberg's syndrome	CVD		
783	a505381016	300	Epidural haemorrhage	CVD		
784	a4411861000006113	300	Cerebral arterial aneurysm	CVD		
785	a884551000006112	300	Cerebral aneurysm-non ruptured	CVD		
786	a370701000006118	300	[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs	CVD		
787	a423221000006117	300	[X]Predominantly cortical dementia	CVD		
788	a423221000006117	300	[X]Predominantly cortical dementia	CVD		
789	a5492171000006112	300	TIA	CVD		
790	a647051000006114	300	Epidural haematoma following injury	CVD		
791	a300411016	300	Sequelae of cerebral infarction	CVD		
792	a5492171000006112	300	TIA	CVD		
793	a2476647018	300	Vertebral artery compression syndrome	CVD		
794	a2476647018	300	Vertebral artery compression syndrome	CVD		
795	a542831000006116	300	Cerebral embolus	CVD		
796	a57341000006119	300	Wallenberg's syndrome	CVD		
797	a12223101000006118	300	Intracerebral haemorrhage	CVD		
798	a884541000006110	300	Cerebral arteriosclerosis	CVD		
799	a300936018	300	[X]Other subarachnoid haemorrhage	CVD		
800	a5582311000006110	300	Occipital cerebral infarction	CVD		
801	a5582311000006110	300	Occipital cerebral infarction	CVD		
802	a313568013	200	Cerebrovascular system anomalies	CVD		
803	a5011051000006116	200	Total anterior cerebral circulation infarction	CVD		
804	a5011051000006116	200	Total anterior cerebral circulation infarction	CVD		
805	a316149014	200	Cerebral haematoma in fetus or newborn	CVD		
806	a316818019	200	Neonatal cerebral ischaemia	CVD		
807	a300380014	200	Acute cerebrovascular insufficiency	CVD		
808	a370711000006115	200	[X]Cerebrovascular diseases	CVD		
809	a300401011	200	Other cerebrovascular disease OS	CVD		
810	a370661000006114	200	[X]Cereb infarct due unsp occlus/stenos precerebr arteries	CVD		
811	a9912271000006112	200	Cerebellar stroke	CVD		
812	a884451000006111	200	Cerebral haemorrhage NOS	CVD		
813	a2549322011	200	Vein of Galen malformation	CVD		
814	a884561000006114	200	Cerebrovasc. dis. late effects	CVD		
815	a320853015	200	Other cerebral haemorrhage following injury	CVD		
816	a9912271000006112	200	Cerebellar stroke	CVD		
817	a370661000006114	200	[X]Cereb infarct due unsp occlus/stenos precerebr arteries	CVD		
818	a325050015	200	Anoxic brain damage complication	CVD		
819	a2267791000000116	200	Susac's syndrome	CVD		
820	a769281000006119	200	Intracranial haemorrhage in fetus or newborn	CVD		
821	a6990981000006114	200	Ischaemic stroke	CVD		
822	a6990981000006114	200	Ischaemic stroke	CVD		
823	a767641000006118	200	"Intraventricular (nontraumatic) haemorrhage, grade 1, of fetus and newborn"	CVD		
824	a5011491000006115	200	Anterior circulation transient ischaemic attack	CVD		
825	a5011491000006115	200	Anterior circulation transient ischaemic attack	CVD		
826	a767661000006119	200	"Intraventricular (nontraumatic) hemorrhage, grade 3, of fetus and newborn"	CVD		
827	a500972019	200	Pseudotumour cerebri	CVD		
828	a5583061000006119	100	Subarachnoid haemorrhage from anterior communicating artery aneurysm	CVD		
829	a5011411000006113	100	Thalamic haemorrhage	CVD		
830	a5967391000006111	100	Multiple lacunar infarcts	CVD		
831	a5492221000006118	100	Transient ischemic attack	CVD		
832	a5492221000006118	100	Transient ischemic attack	CVD		
833	a5011471000006116	100	Posterior circulation stroke of uncertain pathology	CVD		
834	a5011471000006116	100	Posterior circulation stroke of uncertain pathology	CVD		
835	a313576010	100	Other specified cerebrovascular anomaly	CVD		
836	a300399017	100	Occlusion and stenosis of cerebellar arteries	CVD		
837	a5011411000006113	100	Thalamic haemorrhage	CVD		
838	a300311015	100	Other precerebral artery occlusion	CVD		
839	a231561000006110	100	Phlebitis or thrombophlebitis of CNS venous sinus NOS	CVD		
840	a884431000006116	100	Extradural haemorrhage	CVD		
841	a6348301000006119	100	Embolic stroke	CVD		
842	a3610811000006117	100	IIH - Idiopathic intracranial hypertension	CVD		
843	a63408013	100	Locked in syndrome	CVD		
844	a6348301000006119	100	Embolic stroke	CVD		
845	a300352012	100	Impending cerebral ischaemia	CVD		
846	a437650013	100	Vertebral artery aneurysm	CVD		
847	a300276019	100	External capsule haemorrhage	CVD		
848	a5967391000006111	100	Multiple lacunar infarcts	CVD		
849	a359985011	100	Intracerebral haemorrhage in foetus or newborn	CVD		
850	a884481000006115	100	Vertebral artery occluded	CVD		
851	a300398013	100	Occlusion and stenosis of posterior cerebral artery	CVD		
852	a350815011	100	Congenital arteriovenous fistula of brain	CVD		
853	a149701000006118	100	Sequelae/other + unspecified cerebrovascular diseases	CVD		
854	a390713015	100	Injury of vertebral artery	CVD		
855	a746571000006116	100	"Intracerebral haemorrhage, multiple localized"	CVD		
856	a428181000006115	100	Subarachnoid hemorrhage	CVD		
857	a746571000006116	100	"Intracerebral haemorrhage, multiple localized"	CVD		
858	a7054171000006115	100	Acute lacunar infarction	CVD		
859	a300276019	100	External capsule haemorrhage	CVD		
860	a7054171000006115	100	Acute lacunar infarction	CVD		
861	a300352012	100	Impending cerebral ischaemia	CVD		
862	a5011191000006111	90	Pure motor lacunar infarction	CVD		
863	a7285511000006116	90	Cerebral small vessel disease	CVD		
864	a300407010	90	Sequelae of intracerebral haemorrhage	CVD		
865	a316141012	90	Local subdural haematoma due to birth trauma	CVD		
866	a1870501000006114	90	Cerebral amyloidosis	CVD		
867	a307781012	90	Cerebral venous thrombosis in pregnancy	CVD		
868	a84583018	90	Sinus pericranii	CVD		
869	a296947018	90	Thrombophlebitis of central nervous system venous sinuses	CVD		
870	a12370651000006112	90	MVAD - Mixed vascular Alzheimer dementia	CVD		
871	a5011191000006111	90	Pure motor lacunar infarction	CVD		
872	a300935019	90	[X]Subarachnoid haemorrhage from other intracranial arteries	CVD		
873	a459514014	90	Traumatic subdural haematoma with open intracranial wound	CVD		
874	a4411871000006118	80	Intracranial aneurysm	CVD		
875	a605481000006110	80	CVA - cerebrovascular accident in the puerperium	CVD		
876	a345639010	80	Infarction - precerebral	CVD		
877	a345639010	80	Infarction - precerebral	CVD		
878	a300406018	80	Sequelae of subarachnoid haemorrhage	CVD		
879	a605481000006110	80	CVA - cerebrovascular accident in the puerperium	CVD		
880	a86021000006119	80	Traumatic extradural haematoma without open intracranial wound	CVD		
